Area of park,Population year,Survey Year,Survey Month,Survey Day,Species name,Unknown age and sex count,Adult male count,Adult female count,Adult unknown count,Yearling count,Calf count,Survey total,Sightability correction factor,Additional captive count,Animals removed prior to survey,Fall population estimate,Survey comment,Estimate method
North,1917,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,,Ground
North,1917,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,,Ground
North,1917,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,,Ground
North,1918,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,,Ground
North,1918,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,,Ground
North,1918,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,,Ground
North,1918,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,,Ground
North,1919,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,,Ground
North,1919,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Ground
North,1919,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Ground
North,1919,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,,Ground
North,1920,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,,Ground
North,1920,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,,Ground
North,1920,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Ground
North,1920,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,,Ground
North,1921,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,,Ground
North,1921,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,,Ground
North,1921,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,,Ground
North,1921,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,,Ground
North,1922,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,,Ground
North,1922,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,,Ground
North,1922,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,,Ground
North,1922,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,,Ground
North,1923,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,,Ground
North,1923,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,,Ground
North,1923,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,,Ground
North,1923,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,,Ground
