Area of park,Population year,Survey Year,Survey Month,Survey Day,Species name,Unknown age and sex count,Adult male count,Adult female count,Adult unknown count,Yearling count,Calf count,Survey total,Sightability correction factor,Additional captive count,Animals removed prior to survey,Fall population estimate,Survey comment,Estimate method
South,1961,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,Aerial
North,1963,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,,Aerial
North,1961,1961,12,14,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,,Aerial
South,1961,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,,Aerial
South,1964,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,,Aerial
North,1964,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,,Aerial
South,1962,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,,Aerial
North,1962,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,,Aerial
North,1962,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,,Aerial
North,1963,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,,Aerial
North,1963,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,,Aerial
North,1965,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,,Aerial
South,1966,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,,Aerial
South,1963,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,,Aerial
North,1963,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,,Aerial
North,1964,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,,Aerial
North,1964,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,,Aerial
North,1964,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,,Aerial
South,1967,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,,Aerial
North,1967,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,,Aerial
South,1964,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,Aerial
North,1965,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,,Aerial
South,1965,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,,Aerial
South,1965,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,Aerial
North,1965,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,,Aerial
North,1965,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,,Aerial
North,1968,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,,Aerial
South,1969,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,,Aerial
South,1965,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,Aerial
North,1966,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,,Aerial
North,1966,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429,,Aerial
South,1966,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,,Aerial
North,1966,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,,Aerial
North,1966,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,,Aerial
South,1970,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,,Aerial
North,1970,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,,Aerial
South,1966,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,Aerial
North,1967,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627,,Aerial
North,1968,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,,Aerial
North,1967,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,,Aerial
South,1967,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,,Aerial
North,1967,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733,,Aerial
North,1971,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,,Aerial
South,1972,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,,Aerial
South,1967,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,,Aerial
South,1968,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,,Aerial
North,1969,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,,Aerial
North,1968,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,,Aerial
South,1968,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,,Aerial
North,1968,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,,Aerial
South,1973,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,,Aerial
North,1973,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,,Aerial
South,1968,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,Aerial
North,1969,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,,Aerial
North,1970,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,,Aerial
North,1969,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,,Aerial
South,1969,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,,Aerial
North,1969,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774,,Aerial
North,1974,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,Aerial
South,1975,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,,Aerial
South,1969,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,Aerial
North,1971,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,,Aerial
South,1971,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,,Aerial
North,1970,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,,Aerial
South,1970,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,,Aerial
North,1970,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,,Aerial
South,1976,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,,Aerial
North,1976,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,,Aerial
South,1970,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,Aerial
North,1972,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,,Aerial
North,1972,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,,Aerial
North,1971,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,,Aerial
North,1971,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872,,Aerial
South,1971,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,,Aerial
North,1977,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,,Aerial
South,1978,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,,Aerial
South,1971,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,Aerial
North,1973,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,,Aerial
North,1974,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,,Aerial
North,1972,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,,Aerial
North,1972,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,,Aerial
South,1972,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,,Aerial
South,1979,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,,Aerial
North,1979,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,,Aerial
South,1972,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,Aerial
South,1974,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,,Aerial
North,1975,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,Aerial
North,1973,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,,Aerial
North,1973,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,,Aerial
South,1973,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,,Aerial
North,1980,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,,Aerial
South,1981,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,,Aerial
South,1973,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,,Aerial
North,1975,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,,Aerial
North,1976,1977,1,11,Moose,359,NA,NA,NA,NA,NA,359,25,NA,NA,449,,Aerial
North,1974,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,,Aerial
North,1974,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,,Aerial
South,1974,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,,Aerial
South,1982,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,,Aerial
North,1982,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,,Aerial
South,1974,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,Aerial
South,1977,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,,Aerial
North,1978,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,,Aerial
North,1975,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,,Aerial
North,1975,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,,Aerial
South,1975,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,,Aerial
North,1962,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,,Aerial
South,1962,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,Aerial
South,1975,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,,Aerial
South,1980,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,,Aerial
North,1981,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,,Aerial
North,1962,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,,Aerial
North,1976,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,,Aerial
North,1976,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,,Aerial
South,1976,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,,Aerial
South,1962,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,,Aerial
South,1963,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,Aerial
South,1976,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,,Aerial
North,1977,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,,Aerial
South,1964,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Aerial
North,1977,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,,Aerial
North,1977,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,,Aerial
South,1977,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,,Aerial
South,1965,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,,Aerial
South,1966,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,,Aerial
South,1977,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,,Aerial
North,1978,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,,Aerial
North,1978,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,,Aerial
South,1967,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,,Aerial
North,1978,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,,Aerial
South,1978,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Aerial
South,1968,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,,Aerial
South,1969,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,,Aerial
South,1978,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,,Aerial
North,1979,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,,Aerial
North,1979,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,,Aerial
North,1979,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,,Aerial
South,1970,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,,Aerial
South,1979,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,,Aerial
South,1971,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,,Aerial
South,1972,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,,Aerial
South,1979,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,,Aerial
North,1980,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,,Aerial
North,1980,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,,Aerial
North,1980,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,,Aerial
South,1973,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,,Aerial
South,1980,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,,Aerial
South,1974,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,,Aerial
South,1976,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,Aerial
South,1980,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,,Aerial
North,1981,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,,Aerial
North,1981,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,,Aerial
North,1981,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,,Aerial
South,1977,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,,Aerial
South,1981,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,,Aerial
South,1978,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,,Aerial
South,1979,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,,Aerial
South,1981,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,,Aerial
North,1982,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,,Aerial
North,1982,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527,,Aerial
North,1982,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,,Aerial
South,1980,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,,Aerial
South,1982,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,,Aerial
South,1981,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,,Aerial
South,1982,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,,Aerial
South,1982,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,,Aerial
South,1983,1984,2,11,Bison,0,65,83,0,0,35,183,0,0,NA,183,,Aerial
North,1983,1984,1,20,Bison,317,89,4,0,0,0,410,20,NA,NA,492,,Aerial
North,1983,1984,1,20,Elk,147,171,134,0,34,0,486,20,0,NA,583,,Aerial
North,1983,1984,1,20,Moose,1,30,54,0,33,0,118,25,0,0,148,,Aerial
South,1983,1984,2,11,Moose,0,11,22,0,20,0,53,16,0,0,61,,Aerial
North,1983,1984,1,20,Deer,54,14,47,0,18,0,133,25,0,NA,166,,Aerial
South,1983,1984,2,11,Deer,47,0,6,0,9,0,62,16,NA,NA,72,,Aerial
South,1983,1984,2,11,Elk,17,17,63,0,22,0,119,15,0,NA,137,,Aerial
South,1984,1985,2,15,Bison,43,0,0,0,0,0,43,10,170,0,217,,Aerial
North,1984,1985,1,10,Bison,100,0,0,0,0,0,100,7,371,NA,478,,Aerial
North,1984,1985,2,7,Elk,32,113,301,0,0,73,519,10,NA,54,625,,Aerial
North,1984,1985,2,7,Moose,37,39,70,0,55,0,201,10,0,0,221,,Aerial
South,1984,1985,2,15,Deer,87,6,21,0,0,4,118,25,0,0,148,,Aerial
North,1984,1985,2,7,Deer,73,1,34,0,0,3,111,25,0,NA,139,,Aerial
South,1984,1985,2,15,Elk,0,24,63,0,0,22,109,10,0,0,120,,Aerial
South,1984,1985,2,15,Moose,4,27,31,0,0,26,88,10,0,0,98,,Aerial
North,1985,1986,3,25,Bison,340,117,0,0,0,0,457,7,0,NA,488,,Aerial
South,1985,1986,1,30,Bison,12,52,0,0,0,0,64,10,162,NA,232,,Aerial
North,1985,1986,3,25,Elk,479,52,34,0,0,0,565,13,NA,11,649," 11 elk were removed from park before survey (6 were shipped out, 5 mortalities) ",Aerial
North,1985,1986,3,25,Moose,109,13,71,0,0,61,254,10,0,0,286,"Due to shortage of fuel, every other transect was flown in the southern half of the Main Park Area.  The sightability correction factor was doubled for the southern half (20%), while the northern half of the Main Park Area was 10%.",Aerial
South,1985,1986,1,30,Moose,52,12,36,0,0,27,127,10,0,0,140,,Aerial
North,1985,1986,3,25,Deer,95,0,0,0,0,0,95,34,0,NA,121,25% was sightabilty correction factor in first half of the survey and 50% in second half of survey applied due to flight pattern,Aerial
South,1985,1986,1,30,Deer,101,0,0,0,0,0,101,50,0,NA,152,White-tailed deer,Aerial
South,1985,1986,1,30,Elk,119,14,16,0,0,1,150,10,0,NA,165,,Aerial
North,1986,1987,2,23,Elk,130,136,278,0,0,104,648,22,41,8,840,"before survey 6 mortalities were found and 2 elk were shipped out of EINP; during survey, 41 elk were held at Mud lake facility",Aerial
North,1986,1987,2,23,Bison,7,78,2,0,0,0,87,19,412,9,525,before survey 7 mortalities occured and 2 plains bison were shipped out,Aerial
North,1986,1987,2,23,Moose,55,41,85,0,0,77,258,22,0,36,351,,Aerial
North,1986,1987,2,23,Deer,64,0,2,0,4,0,70,39,0,1,98,"very poor aerial survey conditions for deer, sightabilty correction factor could have been higher; 1 mortality occurred before survey",Aerial
South,1986,1986,12,5,Bison,0,46,12,0,0,4,62,11,160,0,229,,Aerial
South,1986,1986,12,5,Moose,9,47,79,0,0,53,188,20,0,0,226,,Aerial
South,1986,1986,12,5,Deer,23,28,49,0,0,7,107,33,0,NA,142,,Aerial
South,1986,1986,12,5,Elk,11,54,97,0,1,21,184,22,0,NA,224,,Aerial
North,1987,1988,3,29,Elk,562,58,35,0,7,0,662,28,NA,112,959,,Aerial
South,1987,1988,2,8,Bison,1,30,10,0,0,0,41,17,224,0,272,,Aerial
North,1987,1988,3,29,Bison,327,66,7,0,0,15,415,5,0,6,442, 6 plains bison mortalities occurred before survey,Aerial
North,1987,1988,3,29,Moose,68,37,38,0,0,16,159,32,0,38,248,"before aerial survey 24 moose were trapped and removed, and had 14 moose mortalities",Aerial
South,1987,1988,2,8,Moose,19,13,49,0,0,20,101,21,0,23,145,5 moose mortalities and 18 moose left park using jumprails,Aerial
North,1987,1988,3,29,Deer,102,8,1,0,0,1,112,44,0,6,167,"47 white tailed deer, 71 mule deer total; 6 known mortalities before survey",Aerial
South,1987,1988,2,8,Deer,66,0,2,0,0,1,69,45,0,0,100,,Aerial
South,1987,1988,2,8,Elk,18,74,135,0,0,37,264,19,0,16,330,1 elk mortality and 15 elk used jumprails prior to survey ,Aerial
North,1988,1989,2,14,Elk,259,130,200,0,25,99,713,18,NA,43,884,Before survey 43 elk were removed from the park (incldues 2 mortalities and 41 shipped out),Aerial
South,1988,1989,1,25,Bison,11,29,1,0,0,1,42,12,268,4,319,4 wood bison mortalities before survey,Aerial
North,1988,1989,2,14,Bison,3,54,0,0,0,0,57,14,470,NA,535,,Aerial
North,1988,1989,2,14,Moose,55,30,42,0,0,32,159,17,0,11,197,11 mortalities before aerial survey,Aerial
South,1988,1989,1,25,Moose,4,36,71,0,1,33,145,15,0,3,170,3 moose left park using jump-rails,Aerial
South,1988,1989,1,25,Deer,104,0,0,0,0,0,104,43,0,0,149,White-tailed deer,Aerial
North,1988,1989,2,14,Deer,178,0,0,0,0,0,178,45,0,4,262,4 known mortalities,Aerial
South,1988,1989,1,25,Elk,92,72,131,0,5,55,355,10,0,NA,391,,Aerial
North,1989,NA,NA,NA,Elk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Ungulate survey in North Aera due to poor snow conditions.  ,Aerial
South,1989,1990,2,22,Bison,3,24,6,0,0,0,33,15,342,NA,380,,Aerial
North,1989,NA,NA,NA,Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
South,1989,1990,2,22,Moose,5,12,30,0,0,20,67,15,0,0,77,,Aerial
North,1989,NA,NA,NA,Moose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No ungulate survey in North Aera due to poor snow conditions.  ,NA
South,1989,1990,2,22,Deer,22,0,20,0,0,1,43,50,0,NA,65,White-tailed deer,Aerial
North,1989,NA,NA,NA,Deer,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,No Ungulate survey in North Area due to poor snow conditions.  ,Aerial
South,1989,1990,2,22,Elk,1,77,171,0,1,41,291,20,NA,NA,349,,Aerial
North,1990,1991,1,24,Elk,8,140,425,0,7,205,785,11,NA,NA,871,,Aerial
North,1990,1991,1,24,Bison,0,94,5,0,0,0,99,5,472,NA,576,,Aerial
South,1990,1991,1,25,Bison,0,27,0,0,0,0,27,5,260,0,288,,Aerial
South,1990,1991,1,25,Moose,3,34,35,0,0,29,101,10,0,0,112,,Aerial
North,1990,1991,1,24,Moose,15,85,83,0,0,68,251,10,0,NA,276,,Aerial
South,1990,1991,1,25,Deer,66,0,0,0,0,0,66,50,0,NA,99,,Aerial
North,1990,1991,1,24,Deer,102,1,0,0,0,1,104,50,0,NA,156,White-tailed deer,Aerial
South,1990,1991,1,25,Elk,57,94,95,0,18,56,320,15,0,NA,368,,Aerial
North,1991,1992,1,31,Elk,27,124,387,0,34,146,718,20.5,80,NA,945,,Aerial
South,1991,1991,11,28,Bison,67,38,10,0,1,26,142,5,170,0,319,,Aerial
North,1991,1992,1,31,Bison,6,104,0,0,0,0,110,5,450,0,565,,Aerial
North,1991,1992,1,31,Moose,99,44,51,0,0,41,235,20,0,NA,282,,Aerial
South,1991,1991,11,28,Moose,4,29,57,0,2,41,133,10,0,0,146,,Aerial
South,1991,1991,11,28,Deer,81,15,7,0,0,0,103,50,0,NA,154,,Aerial
North,1991,1992,1,31,Deer,60,2,12,0,0,4,78,50,0,NA,117,White-tailed deer,Aerial
South,1991,1991,11,28,Elk,1,98,192,0,3,114,408,7.5,0,0,479,,Aerial
North,1992,1993,2,20,Elk,10,200,267,299,0,204,980,7,76,3,1126," 76 elk were in traps for removal from the park after the survey, 3 mortalities were recorded",Aerial
North,1992,1993,2,20,Bison,0,90,3,5,0,2,100,5,628,NA,733,,Aerial
North,1992,1993,2,20,Moose,80,39,71,0,0,40,230,18,0,0,271,,Aerial
North,1992,1993,2,20,Deer,179,0,4,0,0,3,186,50,0,0,279,White-tailed deer,Aerial
South,1992,1993,1,8,Bison,2,39,0,0,0,0,41,5,276,NA,320,,Aerial
South,1992,1993,1,8,Moose,4,29,43,0,2,32,111,10,0,0,122,,Aerial
South,1992,1993,1,8,Deer,67,8,12,0,5,4,96,50,0,NA,144,,Aerial
South,1992,1993,1,8,Elk,53,107,125,0,12,72,369,20,18,0,458,18 elk were in trap pens during survey ,Aerial
North,1993,1994,2,10,Elk,7,219,555,0,3,246,1030,10,NA,95,1228,,Aerial
North,1993,1994,2,10,Bison,0,49,0,0,0,0,49,5,679,NA,730,,Aerial
South,1993,1994,2,9,Bison,0,48,2,0,0,4,54,5,318,NA,375,,Aerial
North,1993,1994,2,10,Moose,34,59,78,0,0,67,238,18,0,0,281,,Aerial
South,1993,1994,2,9,Moose,12,16,33,0,0,32,93,10,0,0,102,,Aerial
South,1993,1994,2,9,Deer,85,0,0,0,0,0,85,50,0,NA,128,White-tailed deer,Aerial
North,1993,1994,2,10,Deer,209,0,0,0,0,0,209,40,0,NA,292,White-tailed deer,Aerial
